GeneID	GSM5686692	GSM5686693	GSM5686694	GSM5686695
378708	90	125	107	88
1325	6	9	9	3
1676	2524	3114	2381	2145
5195	494	586	433	386
54897	12	19	9	13
105376733	0	0	0	0
105376735	0	0	0	0
148345	0	0	0	0
23435	3675	4516	3676	3207
10747	32	26	33	22
6723	1513	1959	1468	1413
5394	1635	2064	1554	1402
105376736	68	82	57	39
2475	2367	2800	2294	2160
100873935	37	45	37	29
10218	0	0	0	0
29914	497	676	492	418
105376737	0	0	0	0
105376739	0	0	0	0
105376740	0	0	0	1
57540	2	8	6	2
112268221	0	1	0	0
101929181	0	0	0	0
26232	5	2	2	2
93611	163	232	150	160
26270	1	5	1	1
10459	621	930	789	566
374946	9	20	16	12
57085	666	970	716	577
284498	22	27	21	20
102724659	0	0	0	0
4524	87	122	98	84
1185	283	328	239	236
100379251	53	54	30	38
4878	9	15	15	5
4879	0	0	0	0
26829	0	0	0	0
90231	1363	1980	1400	1256
5351	3926	5880	4519	3557
9927	2359	3219	2381	2135
60672	234	386	273	214
102466982	1	4	4	1
943	7	0	3	0
102465836	25	34	25	10
7133	531	713	527	396
100616438	0	0	0	0
107984917	0	0	0	0
55187	1366	1491	1256	1174
677885	5	2	2	2
105376744	2	2	0	0
9249	9	11	18	6
102466722	0	0	0	0
343066	0	0	0	1
126767	0	0	0	0
93190	0	0	0	0
390999	0	0	0	0
65121	0	0	0	0
105376745	0	0	0	0
440560	0	0	0	0
343069	1	0	0	0
65122	0	0	0	0
400735	0	0	0	0
343071	0	0	0	0
441871	0	0	0	0
440561	0	0	0	0
101929983	0	0	0	0
649330	0	0	0	0
441873	0	0	0	0
649324	0	0	0	0
440563	0	0	0	0
645354	0	0	0	0
645359	0	0	0	0
101060301	0	0	0	0
343070	0	0	0	0
400736	0	0	0	0
391003	0	0	0	0
343068	0	0	0	0
391002	0	0	0	0
645382	0	0	0	0
653619	0	0	0	0
729528	0	0	0	0
645414	0	0	0	0
391004	0	0	0	0
645425	0	0	0	0
126755	0	0	0	0
102724856	0	0	0	0
107984918	0	0	0	0
10630	0	0	0	0
107984919	0	0	0	0
105378612	0	0	0	0
105376756	0	0	0	0
7799	708	754	646	640
23254	0	1	2	1
107985467	0	0	0	0
107985468	0	0	0	0
105376762	0	0	0	0
105376759	0	0	0	0
107985469	0	0	0	0
200197	1	0	0	0
55092	229	324	224	185
727684	0	0	0	0
114827	9	2	2	6
101927417	1	0	0	0
101927441	6	3	3	2
79180	3101	3970	3026	2569
11330	0	0	2	0
63036	0	0	0	0
105376767	0	0	0	0
51032	2	0	0	1
842	84	120	76	77
23341	304	391	303	272
107397391	0	0	0	0
79814	5	3	2	1
84301	494	543	446	451
6248	74	69	67	69
23207	1552	1971	1296	1159
284723	7	4	4	5
110806303	1	0	1	2
388595	0	0	1	0
54751	686	939	709	622
440567	85	125	115	85
729614	38	63	46	30
23013	1859	2088	1775	1759
7709	415	495	437	367
149563	0	0	0	0
27129	0	1	3	6
1187	0	1	0	2
1188	0	0	0	0
348487	7	12	9	13
1969	3506	4676	3484	3051
101927479	16	15	15	17
128272	106	143	109	105
101927546	6	8	7	5
79363	49	78	59	59
54455	318	387	355	260
26099	2601	3353	2456	2123
374955	1154	1480	1048	925
55707	1041	1519	1064	954
107984921	23	13	13	22
114819	117	94	92	104
26871	2	25	38	49
107985757	0	0	0	0
100132147	0	0	0	0
107985758	0	0	0	0
7195	0	0	0	0
55672	386	534	416	340
105376794	567	681	541	461
84809	206	267	203	180
11209	33	49	38	18
107985736	0	1	0	0
26869	2	22	29	36
107985759	0	0	0	0
284729	1	2	2	2
100189045	0	0	0	0
6060	1	25	64	65
11223	18	19	10	17
100500876	0	0	0	0
100189298	0	0	0	0
112267871	0	0	0	0
7193	0	0	0	0
100189183	0	0	0	0
105376805	32	71	39	27
791226	0	0	1	0
26870	1	23	55	58
9696	337	420	296	322
4237	5	9	6	4
105376806	1	2	2	1
23400	1355	1690	1277	1029
6390	756	1072	868	647
11240	0	1	0	0
105376808	0	0	0	0
400743	2	0	2	1
29943	30	45	12	25
51702	55	64	28	23
100616188	0	0	0	3
23569	0	0	0	0
353238	0	0	0	0
55920	3272	4132	3227	2862
55160	254	401	291	223
107984028	0	0	0	0
81569	0	0	0	0
105376809	0	0	0	0
105376812	0	0	0	0
101927876	0	0	0	0
84966	0	0	0	0
105376814	0	0	0	0
127707	0	0	0	0
5081	0	0	0	0
80834	0	0	0	0
8659	459	629	475	437
100616120	0	0	0	0
100302276	0	0	0	0
126917	811	998	788	761
105376815	2	1	1	0
23352	7179	7796	6370	6056
101927895	141	190	139	114
23065	2605	3349	2683	2363
51154	940	1311	1005	829
246181	1	6	2	1
22977	1	4	0	2
100506730	7	15	10	15
8574	326	558	389	327
54896	393	506	336	252
832	3006	3858	2996	2486
105376819	1	0	0	0
105376818	0	0	0	0
105376817	0	0	0	0
105378614	1	0	0	0
440574	429	573	466	380
100532736	558	776	622	488
644068	14	21	11	13
4681	341	488	377	268
3362	2	0	0	0
255104	432	572	481	376
54546	0	0	0	0
105376823	0	2	0	0
23252	244	298	237	233
30814	0	0	0	0
5320	2	2	0	0
5322	0	0	0	0
26279	0	1	0	0
64600	0	0	0	0
391013	0	0	0	0
127733	0	0	0	0
101928017	0	0	0	0
105376825	0	0	0	0
105376826	0	0	0	0
105376827	0	0	0	0
105376828	0	0	0	0
127731	0	0	0	1
339505	0	0	0	0
55450	1101	1307	934	817
79594	889	1196	870	782
163933	19	30	20	26
978	7	10	8	3
65018	643	881	652	583
102464833	57	75	56	42
100861548	556	801	536	499
1650	3279	4793	3645	2858
57576	24	29	17	17
400745	411	488	238	261
112268222	710	977	750	632
50809	3848	4650	3854	3553
8672	2171	2626	2050	2092
105376830	1	0	0	0
105376829	1	1	0	1
100302155	0	1	0	1
1889	3567	4735	3838	3370
100506801	2	3	1	4
105376832	0	0	0	0
84224	67	55	57	53
249	0	1	1	0
105376834	0	0	0	0
5909	10	12	4	10
84196	1291	1540	1223	1229
401944	77	99	87	88
3339	1045	1304	1187	1225
23436	0	0	0	0
10136	0	0	0	0
101928043	8	7	7	6
29092	191	275	196	170
112268223	11	19	11	11
998	2730	3532	2916	2667
54361	3	1	7	4
105376845	3	2	0	0
105376850	0	1	3	0
107985377	0	0	0	0
100616433	0	0	0	0
105376856	0	0	0	0
9923	591	747	505	522
2046	0	0	0	0
102466615	0	0	0	0
712	0	1	0	0
714	0	0	0	0
713	0	1	0	0
2048	440	567	404	305
100616391	0	0	0	0
100422914	10	24	9	13
646262	0	0	0	0
729059	3	0	1	0
23028	1261	1651	1251	1161
100422866	0	0	0	0
7798	1167	1390	1169	1161
3352	9	14	9	5
100996511	96	129	82	94
10236	3008	3729	3005	2695
80818	204	270	187	168
148898	45	45	54	23
6920	413	582	458	410
55616	41	67	59	45
1870	202	263	181	220
101928163	6	7	4	4
105376859	0	0	0	0
3399	1350	2257	1593	1134
107984928	0	2	0	0
259283	0	0	0	0
6135	4613	6947	5445	4150
6924	1006	1288	998	831
100506963	84	98	76	71
57095	401	696	453	357
105376860	107	114	94	72
11313	952	1412	1003	848
2582	809	1213	903	714
3155	211	342	248	164
105376861	0	0	1	1
2517	397	506	426	376
1269	0	0	0	0
107984929	0	0	0	0
100616492	0	0	0	0
55629	1036	1385	993	930
10772	2265	2929	2338	2221
105378615	0	0	0	0
105376863	0	0	1	0
107984931	0	0	0	0
127294	0	1	0	1
107985737	0	0	0	0
105376864	0	0	0	0
58985	6	9	9	8
163702	0	0	0	0
284632	0	0	0	0
105376871	0	0	0	0
57822	0	0	1	0
90529	81	82	73	68
57185	431	536	422	406
100750325	0	0	0	0
11123	234	249	198	200
100506985	8	9	8	9
400746	0	0	0	1
10250	1743	2274	1728	1698
25932	5162	6614	5393	5020
105376876	0	0	0	0
864	23	42	23	23
102465437	0	0	0	0
107984932	0	0	0	0
105376878	1	11	2	3
100616365	0	0	0	0
105376879	0	0	0	0
25949	532	670	464	416
57035	510	624	559	467
105376882	0	0	0	0
6007	0	2	1	2
23585	907	1222	985	808
6006	286	376	284	241
55219	242	329	264	220
26119	306	452	321	272
57134	42	98	64	43
57190	1888	2446	1987	1823
56181	331	471	348	254
646471	66	141	98	71
79000	114	146	105	116
164091	418	539	377	392
3925	4792	6748	5084	4536
100500808	412	602	461	398
105376885	0	0	0	0
5051	151	211	148	142
101928216	1	1	1	0
2134	0	1	0	0
7780	0	0	0	0
105376910	0	0	0	0
84676	0	0	0	0
149420	42	97	56	58
105376886	0	0	0	0
79927	0	2	0	0
110806296	0	0	0	0
51042	110	262	160	126
10256	1	8	8	7
378807	0	0	0	0
101928303	0	0	0	0
64793	736	1055	865	658
83442	2082	2782	1971	1875
91544	296	413	312	235
1043	3	7	0	0
55057	6	13	6	2
257101	0	0	0	2
79727	5	17	23	20
79947	691	920	641	599
101928324	7	9	0	1
3151	8479	11864	9224	8106
6195	584	724	543	457
100302190	0	0	0	0
105376888	0	0	0	0
101928728	2	10	7	5
8289	2421	2980	2512	2430
55650	196	270	195	150
84243	500	786	572	463
2810	3	11	8	4
54707	403	532	415	371
63906	182	243	209	158
10726	3267	4398	3312	2965
8431	0	3	0	0
126695	0	0	1	0
388610	71	108	107	57
115572	15	35	20	29
101928391	1	0	0	0
6548	865	1059	779	801
102723760	0	0	0	0
105376890	1	0	0	0
23038	899	1223	927	823
84065	505	729	517	423
644961	15	27	26	25
84958	10	2	8	6
9064	947	1304	1016	884
8547	0	2	0	1
388611	0	0	0	0
2827	49	46	27	28
10163	3533	4217	3403	3132
105376892	0	1	0	3
27245	901	1191	912	868
2268	0	0	0	1
111216282	0	0	0	0
2537	460	685	613	489
199870	128	116	91	90
23673	248	316	249	227
5511	563	757	654	565
677774	1	2	0	0
9473	104	165	99	106
6118	1001	1487	1131	969
27293	0	2	0	1
55113	2	0	0	3
2140	464	588	452	469
5724	5	10	7	8
22826	1388	1749	1354	1098
93974	614	867	690	580
83667	329	430	355	245
54797	147	183	145	151
65979	1153	1408	1043	1083
1104	1361	1890	1532	1385
8420	390	559	495	435
6080	23	24	20	18
26768	16	18	13	21
54952	202	327	225	157
85028	134	199	163	126
692212	3	4	3	3
677838	18	27	21	21
677825	5	6	3	5
692073	14	9	21	16
115273	0	2	0	1
6883	201	230	196	140
105378616	5	8	4	3
26824	0	0	0	0
10691	146	207	165	144
51441	991	1337	998	975
4985	57	71	40	47
2035	441	530	373	402
399474	434	648	447	365
6429	1891	2279	1838	1636
51102	229	274	253	203
10076	28	42	41	10
101928460	0	0	0	0
107984933	0	0	0	0
107984934	0	0	0	0
101929406	0	0	0	0
105378617	0	0	0	0
105378618	0	0	0	0
4146	7	6	13	6
100129196	6	6	6	7
7805	155	189	128	114
100616164	0	0	0	0
105378620	1	7	2	7
105378621	0	0	0	0
105378622	0	1	2	0
400748	0	0	0	0
9672	615	943	734	624
9698	1717	2125	1704	1670
692234	4	3	6	6
692235	4	2	8	4
692200	0	2	0	1
107984935	1	0	1	1
79570	0	0	0	8
9410	623	850	624	495
51538	423	638	460	372
2170	30	39	23	16
105378623	0	0	0	0
107985470	0	0	0	0
347735	1158	1406	1067	887
105378625	0	1	0	0
105379772	0	0	0	0
149086	0	0	0	0
284551	0	0	0	0
105378626	6	9	3	6
64129	17	42	20	21
3061	52	61	59	30
553115	458	664	501	411
107985471	26	44	28	25
105378628	0	0	0	0
1307	293	365	322	282
101929444	22	21	14	19
576	471	554	469	435
100423028	0	0	0	0
90853	143	235	135	103
8073	2952	3772	2816	2512
10657	3188	4366	3238	3135
55116	379	583	433	358
100847018	0	0	4	2
23633	1640	2039	1632	1561
200081	2328	2898	2297	2122
79140	79	109	84	67
56063	142	170	163	117
55721	100	140	98	89
149069	13	27	19	14
8668	2257	3209	2444	2028
339483	116	161	128	142
84734	23	42	30	22
3932	10	6	3	0
3065	2488	3560	2760	2360
65108	1073	1645	1211	1042
105378629	1	4	2	1
81629	79	108	95	83
100128071	31	36	32	22
55108	909	1231	1014	777
728116	14	8	1	13
653121	211	266	229	184
102723870	1	3	8	7
339487	248	287	203	198
5928	1684	2251	1729	1586
81493	512	650	506	460
57648	657	826	568	571
8565	2487	3435	2616	2042
64766	471	623	476	480
252995	1	3	10	5
105378631	1	3	0	1
3208	6	10	13	5
113452	556	815	607	451
105378632	0	0	0	0
127544	312	471	393	322
204	2812	3834	2991	2480
105378635	0	0	0	0
113451	118	106	115	77
112268224	0	1	1	1
55223	163	187	133	108
149076	413	464	367	278
127550	0	0	2	0
1912	1774	2329	1624	1308
100500853	61	95	65	61
101929464	0	4	3	1
7579	155	188	149	128
114784	0	1	1	0
105378638	0	0	0	0
127540	0	0	0	0
402779	0	0	0	0
84970	0	0	0	0
105378639	0	0	0	0
105378640	0	0	0	0
105378641	0	0	0	0
693137	0	0	0	0
105378642	0	0	0	0
2709	1	0	0	0
127534	0	1	0	0
2707	1	1	0	0
2701	0	0	3	0
113444	423	552	423	394
58512	11	11	13	13
653160	9	23	24	19
100506144	133	191	164	129
9204	269	305	267	234
79830	427	479	402	374
105378644	0	0	0	0
6421	5982	7888	6048	5935
9202	1144	1321	1110	1016
100861513	28	33	27	27
79932	1183	1391	1169	1001
23154	1149	1541	1092	982
339488	31	38	27	36
105378645	10	3	2	2
5690	1704	2231	1767	1559
105378646	0	0	0	0
127703	616	900	639	626
63967	1531	1810	1653	1460
192670	198	292	213	226
26523	620	720	571	550
192669	391	401	432	346
105378647	1	2	0	1
27285	1	1	0	0
54936	365	500	419	345
1296	5	7	11	12
27095	616	1015	716	601
55700	4672	6020	4597	4249
9967	2686	3490	2775	2538
79729	284	440	317	277
55194	312	456	394	296
83931	414	539	375	365
84967	207	278	264	160
127700	28	26	25	22
109616970	3	0	1	3
107984940	0	0	1	0
64960	567	775	567	530
1441	0	0	0	0
107984941	0	0	0	0
105378648	0	0	0	0
2899	0	0	2	0
100422898	0	0	0	0
107984942	0	0	0	0
728431	16	29	16	18
80149	132	123	107	71
102465438	1	0	2	1
64769	488	726	573	435
100847010	10	7	5	3
105378649	11	14	15	11
79753	240	319	257	246
7802	2	7	6	7
29889	1015	1172	998	897
284654	0	1	0	0
54955	237	356	294	249
55143	887	1369	973	885
284656	1	0	0	3
105378650	0	0	0	0
149175	392	527	411	384
79693	354	546	412	341
127687	398	670	471	383
4520	359	427	323	319
3633	203	278	225	220
105378651	6	9	8	5
10946	1863	2289	1884	1668
2275	263	320	225	223
51118	565	729	545	485
5453	0	0	0	0
107985103	0	0	0	0
105378653	0	0	0	0
100500801	0	0	0	0
105378655	0	0	0	0
105378654	0	0	0	0
339442	0	0	0	0
105378657	0	0	0	0
107984943	0	0	0	0
105378656	0	0	0	0
105378658	0	0	0	0
105378660	0	0	0	0
64121	666	821	479	447
100527950	152	204	175	130
26292	151	199	172	128
105378663	1	2	2	0
81025	2	4	5	2
54933	3	5	5	2
105378662	2	4	1	1
79647	977	1450	1047	972
4725	1129	1709	1341	1043
23499	6018	6411	5047	5133
643314	1265	1185	1103	1077
105378950	0	1	1	2
353500	19	30	19	17
192217	5	6	3	5
728448	5	10	7	7
8761	2800	3888	2869	2760
101929516	326	429	348	310
677834	3	14	10	6
26508	0	0	0	0
84618	0	0	0	0
51440	0	0	4	0
10450	412	585	418	365
656	98	116	120	82
64064	8	20	7	12
105378666	1	0	2	0
101929536	3	0	3	2
105378951	2	1	0	0
107985740	0	0	0	0
105378665	0	0	0	0
105378667	0	0	0	0
54802	274	318	242	206
4610	6	6	5	10
105378668	2	0	1	4
84879	41	48	28	29
105378669	2	0	1	1
10487	4567	6337	4703	4023
5538	3572	4834	3563	2980
105378671	0	0	0	0
6018	356	365	311	268
127391	0	0	0	0
10269	976	1180	868	825
1298	0	1	2	0
107984945	0	0	0	0
64744	302	444	358	304
65243	75	98	50	65
339559	65	66	60	60
105378672	2	9	6	6
64789	204	277	218	194
127396	40	41	37	27
105378673	0	0	0	0
9783	117	126	112	108
105378675	4	2	1	2
105378674	0	0	0	0
100130557	96	94	84	88
4802	499	716	570	484
407034	0	0	0	0
407031	0	0	0	0
9132	4	10	7	8
105378676	0	0	0	0
163732	41	42	11	28
1503	2049	2712	2064	1727
100507178	74	93	51	55
200172	23	23	12	26
22955	550	693	537	465
100132074	23	14	15	9
101929901	0	1	0	0
105378678	0	1	0	0
1907	0	3	0	0
59269	325	405	293	280
2981	0	0	0	0
2980	0	0	0	0
22887	1102	1435	1038	1054
284716	5	3	4	0
84217	6	9	6	4
728621	41	49	44	41
79717	244	306	237	187
10465	433	625	531	452
4904	12296	17504	13076	11586
149461	0	0	0	0
64175	826	1193	945	851
79078	72	107	94	94
105378683	0	7	1	1
100129924	1	1	0	0
107984946	0	2	0	0
374969	48	83	52	42
114625	152	188	147	129
51058	165	199	151	146
339539	0	0	0	0
6513	3481	4904	3710	3000
440584	10	2	3	2
440585	0	0	0	1
10969	1963	2602	2133	1937
102465439	2	5	2	3
149465	25	36	8	32
105378685	2	5	2	3
128218	0	0	0	0
149466	0	0	0	0
7075	21	12	19	15
4352	1	2	2	2
105378687	6	4	5	3
991	2507	3511	2871	2446
64834	1338	1880	1408	1179
102466723	2	3	2	1
112268225	4	7	6	7
112950	351	553	416	349
107984947	48	61	45	36
23334	1045	1287	1014	967
100873952	41	32	23	30
102465440	1	5	0	0
81888	232	313	261	198
5792	5422	6548	5524	5206
9682	690	889	801	615
100132774	81	120	88	69
6487	280	292	240	276
101929592	1	0	2	0
102464830	0	0	0	0
9048	7	9	1	3
105378688	9	4	3	3
101929609	49	79	69	50
9670	430	599	430	393
1802	473	764	538	445
533	1437	2329	1590	1188
8704	1133	1597	1240	1049
149473	77	111	87	58
6536	270	343	323	264
107984948	3	0	1	4
128209	12	30	18	20
105378952	0	0	0	0
55929	407	631	422	405
79033	703	1002	795	590
100874278	33	18	19	29
106635545	0	0	1	0
55182	990	1415	1087	878
107984951	0	0	2	1
100847089	0	0	0	0
107984950	298	372	308	207
79639	96	92	70	47
109623472	0	3	0	0
339541	3	10	5	6
105378690	1	1	3	2
26828	1	0	0	0
26830	0	0	0	0
11004	1546	2229	1691	1415
109623476	11	7	5	6
6202	5622	8209	6425	5073
26811	10	23	23	9
94161	5	8	7	5
94162	4	8	5	10
94163	6	3	6	8
266675	1	0	3	3
1263	276	415	244	249
343521	81	79	63	70
149478	222	233	191	188
107984952	20	21	10	18
8643	4	7	3	3
8891	330	391	282	294
79654	655	892	601	569
7389	876	1274	951	783
57643	12	31	10	14
105378691	3	2	4	2
400752	3	2	1	2
84842	49	96	65	78
4595	170	212	181	159
114034	250	392	300	216
10420	56	77	54	50
126661	19	36	38	24
25974	797	1136	831	682
5052	5671	8071	6087	5112
10327	433	650	497	409
4678	3200	4037	3238	2950
149483	8	22	17	21
60313	1136	1606	1226	1114
728963	4	6	6	4
51249	358	458	334	290
3652	154	202	205	177
105378693	0	0	0	0
23139	1967	2568	1939	1949
105378694	0	1	2	1
110117499	109	155	121	113
8503	149	191	164	139
101929626	0	0	1	0
10103	6	14	14	11
110117498	0	0	0	0
55624	1245	1573	1260	1054
541468	36	46	34	24
8438	521	672	558	462
10489	615	894	687	599
7388	1227	1799	1384	1073
387338	276	371	281	240
2166	8	8	8	7
729041	4	2	2	0
101929651	0	0	0	0
127343	5	3	0	2
105378696	0	0	0	0
100507423	55	52	30	36
148930	0	0	0	0
8569	416	450	307	313
148932	150	171	116	115
105378697	0	0	0	0
64756	479	689	526	439
374973	0	0	1	0
100130197	27	37	23	23
9813	1081	1434	1059	1033
105378698	6	7	6	6
105378699	0	0	0	0
1580	0	0	0	0
163720	0	0	0	1
1579	0	0	0	0
260293	61	79	71	69
199974	0	0	3	1
284541	0	0	0	0
105378701	1	1	1	4
100874253	1	1	1	0
10158	0	0	0	0
6886	5	3	0	1
6491	874	996	774	800
51727	1707	2349	1704	1709
102724077	2	2	3	2
2301	0	0	0	0
84793	65	42	53	55
2306	23	18	20	13
107984953	0	0	0	0
388630	0	0	1	0
105379778	0	0	0	0
391037	0	1	0	0
200010	1	3	2	5
54558	66	75	57	64
84871	0	0	0	0
79656	0	0	1	0
105378706	0	0	0	0
101929721	0	0	0	0
100874313	0	0	0	0
107984954	0	0	0	0
105378708	0	0	0	0
1996	4	2	1	0
105378709	0	0	0	0
107984955	0	0	0	0
105378711	0	0	0	0
105378710	0	0	0	0
105378712	0	0	1	0
63950	0	1	0	0
105378714	0	0	0	0
11124	1108	1477	1074	914
105378715	8	9	16	6
112268262	2	3	1	2
1031	606	883	816	607
100616189	0	0	0	0
102466656	0	0	0	0
284546	0	0	0	0
105378716	0	2	0	0
26994	1340	1876	1474	1124
22996	1	5	2	1
105378717	0	0	0	0
102724097	0	0	0	0
2060	605	755	544	539
105378720	0	3	3	1
441884	0	4	1	0
105378719	0	0	0	0
114883	1239	1446	1137	1106
4898	2320	2784	2168	2032
105378721	99	129	114	98
100313892	8	4	7	5
5865	2468	2645	2222	2244
51060	1036	1506	1184	980
112970	100	160	103	77
104355143	0	0	1	0
91408	808	958	716	612
107984956	0	0	0	0
9372	148	195	123	140
200014	600	799	568	504
4998	507	591	477	428
84950	746	908	694	640
23318	773	822	737	593
105378723	1	0	0	0
2882	131	225	162	119
348378	0	1	0	0
65260	629	775	610	583
79699	433	519	389	425
440590	136	116	114	104
55268	468	467	441	380
6342	611	811	630	589
127435	0	0	2	3
6512	0	0	0	0
105378724	0	0	0	0
1376	121	225	164	136
54987	280	351	347	237
4116	395	544	394	338
100507564	8	14	4	6
7804	758	994	681	583
105378728	29	34	19	30
105378726	112	130	95	97
